Administrative_Area,Cuisine,Number of restaurants
DÚN LAOGHAIRE-RATHDOWN,Kurdish,0
DÚN LAOGHAIRE-RATHDOWN,Lebanese,1
DÚN LAOGHAIRE-RATHDOWN,Persian,0
DÚN LAOGHAIRE-RATHDOWN,Syrian,0
DÚN LAOGHAIRE-RATHDOWN,Yemeni,0
DÚN LAOGHAIRE-RATHDOWN,Pakistani,0
DÚN LAOGHAIRE-RATHDOWN,Polish,0
DÚN LAOGHAIRE-RATHDOWN,Portuguese,1
DÚN LAOGHAIRE-RATHDOWN,Russian,0
DÚN LAOGHAIRE-RATHDOWN,Scandinavian,0
DÚN LAOGHAIRE-RATHDOWN,Scottish,0
DÚN LAOGHAIRE-RATHDOWN,Slovak,0
DÚN LAOGHAIRE-RATHDOWN,Spanish,1
DÚN LAOGHAIRE-RATHDOWN,Sri Lankan,0
DÚN LAOGHAIRE-RATHDOWN,Swiss,1
DÚN LAOGHAIRE-RATHDOWN,Turkish,0
DÚN LAOGHAIRE-RATHDOWN,Ukranian,0
MEATH,Afghan,0
MEATH,African,0
MEATH,American,1
MEATH,Burmese,0
MEATH,Cambodian,0
MEATH,Chinese,5
MEATH,Filipino,0
MEATH,Himalayan,0
MEATH,Indonesian,0
MEATH,Japanese,0
MEATH,Korean,0
MEATH,Malay,0
MEATH,Mongolian,0
MEATH,Thai,2
MEATH,Tibetan,0
MEATH,Vietnamese,0
MEATH,Australian,0
MEATH,Austrian,0
MEATH,Bangladeshi,0
MEATH,Belgian,0
MEATH,Caribbean,0
MEATH,Caucasian,0
MEATH,Czech,0
MEATH,Dutch,0
MEATH,Belarusian,0
MEATH,Bosnian,0
MEATH,Bulgarian,0
MEATH,Romanian,0
MEATH,Tatar,0
MEATH,English,1
MEATH,French,0
MEATH,German,0
MEATH,Greek,1
MEATH,Hawaiian,0
MEATH,Hungarian,0
MEATH,Indian,8
MEATH,Italian,3
MEATH,Salvadoran,0
MEATH,Argentinian,1
MEATH,Brazilian,0
MEATH,Colombian,0
MEATH,Peruvian,0
MEATH,Venezuelan,0
MEATH,Moroccan,0
MEATH,Mexican,0
MEATH,Egyptian,0
MEATH,Iraqi,0
MEATH,Israeli,0
MEATH,Kurdish,0
MEATH,Lebanese,0
MEATH,Persian,0
MEATH,Syrian,0
MEATH,Yemeni,0
MEATH,Pakistani,0
MEATH,Polish,0
MEATH,Portuguese,0
MEATH,Russian,0
MEATH,Scandinavian,0
MEATH,Scottish,0
MEATH,Slovak,0
MEATH,Spanish,1
MEATH,Sri Lankan,0
MEATH,Swiss,0
MEATH,Turkish,0
MEATH,Ukranian,0
LIMERICK CITY AND COUNTY,Afghan,0
LIMERICK CITY AND COUNTY,African,0
LIMERICK CITY AND COUNTY,American,3
LIMERICK CITY AND COUNTY,Burmese,0
LIMERICK CITY AND COUNTY,Cambodian,0
LIMERICK CITY AND COUNTY,Chinese,3
LIMERICK CITY AND COUNTY,Filipino,0
LIMERICK CITY AND COUNTY,Himalayan,0
LIMERICK CITY AND COUNTY,Indonesian,0
LIMERICK CITY AND COUNTY,Japanese,2
LIMERICK CITY AND COUNTY,Korean,0
LIMERICK CITY AND COUNTY,Malay,0
LIMERICK CITY AND COUNTY,Mongolian,0
LIMERICK CITY AND COUNTY,Thai,9
LIMERICK CITY AND COUNTY,Tibetan,0
LIMERICK CITY AND COUNTY,Vietnamese,0
LIMERICK CITY AND COUNTY,Australian,0
LIMERICK CITY AND COUNTY,Austrian,0
LIMERICK CITY AND COUNTY,Bangladeshi,0
LIMERICK CITY AND COUNTY,Belgian,0
LIMERICK CITY AND COUNTY,Caribbean,0
LIMERICK CITY AND COUNTY,Caucasian,0
LIMERICK CITY AND COUNTY,Czech,0
LIMERICK CITY AND COUNTY,Dutch,0
LIMERICK CITY AND COUNTY,Belarusian,0
LIMERICK CITY AND COUNTY,Bosnian,0
LIMERICK CITY AND COUNTY,Bulgarian,0
LIMERICK CITY AND COUNTY,Romanian,0
LIMERICK CITY AND COUNTY,Tatar,0
LIMERICK CITY AND COUNTY,English,0
LIMERICK CITY AND COUNTY,French,3
LIMERICK CITY AND COUNTY,German,0
LIMERICK CITY AND COUNTY,Greek,2
LIMERICK CITY AND COUNTY,Hawaiian,1
LIMERICK CITY AND COUNTY,Hungarian,0
LIMERICK CITY AND COUNTY,Indian,4
LIMERICK CITY AND COUNTY,Italian,9
LIMERICK CITY AND COUNTY,Salvadoran,0
LIMERICK CITY AND COUNTY,Argentinian,1
LIMERICK CITY AND COUNTY,Brazilian,0
LIMERICK CITY AND COUNTY,Colombian,0
LIMERICK CITY AND COUNTY,Peruvian,0
LIMERICK CITY AND COUNTY,Venezuelan,0
LIMERICK CITY AND COUNTY,Moroccan,0
LIMERICK CITY AND COUNTY,Mexican,5
LIMERICK CITY AND COUNTY,Egyptian,0
LIMERICK CITY AND COUNTY,Iraqi,0
LIMERICK CITY AND COUNTY,Israeli,0
LIMERICK CITY AND COUNTY,Kurdish,0
LIMERICK CITY AND COUNTY,Lebanese,0
LIMERICK CITY AND COUNTY,Persian,0
LIMERICK CITY AND COUNTY,Syrian,0
LIMERICK CITY AND COUNTY,Yemeni,0
LIMERICK CITY AND COUNTY,Pakistani,0
LIMERICK CITY AND COUNTY,Polish,0
LIMERICK CITY AND COUNTY,Portuguese,0
LIMERICK CITY AND COUNTY,Russian,0
LIMERICK CITY AND COUNTY,Scandinavian,0
LIMERICK CITY AND COUNTY,Scottish,0
LIMERICK CITY AND COUNTY,Slovak,0
